Unnamed: 0,Brand,Model,Year,Price,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,VIN,Аварийная/Не на ходу,Двигатель
9, Audi,100 , 1992,"    1200000
    ₸
",Алматы,седан,2.3 (бензин),340 000 км,механика,слева,бирюзовый,передний привод,Да,,,
10, Mercedes-Benz,E 230 , 1992,"    1500000
    ₸
",Тараз,седан,2.3 (бензин),360 км,механика,слева,золотистый,задний привод,Да,,,
11, ВАЗ (Lada),2115 (седан) , 2007,"    920000
    ₸
",Уральск,седан,1.6 (бензин),,механика,слева,серый,передний привод,Нет,,,
12, Honda,CR-V , 1999,"    2300000
    ₸
",Алматы,кроссовер,2 (бензин),,автомат,справа,серебристый,передний привод,Нет,,,
13, ВАЗ (Lada),2115 (седан) , 2011,"    1030000
    ₸
",Уральск,седан,1.6 (бензин),125 000 км,механика,слева,синий,передний привод,Нет,,,
14, Hyundai,Elantra , 2019,"    8200000
    ₸
",Алматы,седан,1.6 (бензин),42 000 км,автомат,слева,белый,передний привод,Да,,,
15, Subaru,Forester , 2010,"    6500000
    ₸
",Алматы,кроссовер,2.5 (бензин),170 000 км,автомат,слева,серый,полный привод,Да,,,
16, Mercedes-Benz,G 500 , 2002,"    10500000
    ₸
",Алматы,внедорожник,5 (бензин),303 000 км,автомат,слева,черный,полный привод,Да,,,
17, Mercedes-Benz,SEC 500 AMG , 1981,"    15000000
    ₸
",Алматы,купе,5.6 (бензин),310 000 км,автомат,слева,серебристый металлик,задний привод,Да,,,
18, Mercedes-Benz , 2010,года,"    4300000
    ₸
",Костанай,седан,1.8 (бензин),180 000 км,автомат,слева,,задний привод,Нет,,,
19, Daewoo,Nexia , 2012,"    1500000
    ₸
",Жезказган,седан,1.5 (бензин),90 000 км,механика,слева,синий,передний привод,Нет,,,
0, Daewoo,Nexia ,2012.0,"    1500000
    ₸
",Жезказган,седан,1.5 (бензин),90 000 км,механика,слева,синий,передний привод,Нет,,,
1, Mercedes-Benz,ML 350 ,2004.0,"    4900000
    ₸
",Алматы,кроссовер,3.7 (бензин),,автомат,слева,черный,полный привод,Да,,,
2, ВАЗ (Lada),2170 (седан) ,2007.0,"    1370000
    ₸
",Нур-Султан (Астана),седан,1.6 (бензин),111 111 км,механика,слева,серебристый,передний привод,Да,,,
3, Lexus,ES 350 ,2006.0,"    5700000
    ₸
",Каскелен,кроссовер,3.5 (бензин),260 000 км,автомат,слева,серебристый металлик,полный привод,Нет,,,
4, Kia,Sorento ,2012.0,"    5700000
    ₸
",Актау,кроссовер,3.5 (бензин),206 661 км,автомат,слева,бордовый,полный привод,Да,,,
5,,,,,,,,,,,,,,,,
6, Volkswagen,Golf ,1992.0,"    1300000
    ₸
",Павлодар,хэтчбек,1.8 (бензин),229 000 км,механика,слева,вишня металлик,,Да,,,
7, Toyota,Camry ,2015.0,"    9000000
    ₸
",Алматы,седан,2.5 (бензин),100 500 км,автомат,слева,черный,передний привод,Да,,,
8, Toyota,Camry ,1998.0,"    2700000
    ₸
",Кызылорда,седан,3 (бензин),,автомат,слева,белый,передний привод,Да,,,
9, Honda,CR-V ,2011.0,"    6900000
    ₸
",Нур-Султан (Астана),кроссовер,2.4 (бензин),343 193 км,автомат,слева,черный,полный привод,Да,,,
10, Audi,A6 ,1996.0,"    3000000
    ₸
",Нур-Султан (Астана),седан,2.6 (бензин),371 556 км,механика,слева,серебристый,передний привод,Да,,,
11, Mercedes-Benz,C 180 ,1993.0,"    2100000
    ₸
",Алматы,седан,1.8 (бензин),307 000 км,механика,слева,синий,задний привод,Да,,,
12, Toyota,Camry ,2005.0,"    4300000
    ₸
",Атырау,седан,2.4 (бензин),361 500 км,автомат,слева,черный,передний привод,Да,,,
13,,,,,,,,,,,,,,,,
14, Toyota,Camry ,2012.0,"    7200000
    ₸
",Нур-Султан (Астана),седан,2.5 (бензин),125 000 км,автомат,слева,черный металлик,передний привод,Да,,,
15, Mercedes-Benz,ML 350 ,2007.0,"    6700000
    ₸
",Алматы,кроссовер,3.5 (бензин),177 000 км,автомат,слева,серебристый металлик,,Да,,,
16, Kia,Picanto ,2012.0,"    3600000
    ₸
",Алматы,хэтчбек,1 (бензин),70 000 км,автомат,слева,бежевый,передний привод,Да,,,
17, BMW,535 ,2008.0,"    7700000
    ₸
",Алматы,седан,3 (бензин),190 000 км,автомат,слева,черный,полный привод,Да,,,
18, Toyota,Corolla ,2003.0,"    3400000
    ₸
",Алматы,седан,1.8 (бензин),,автомат,слева,серебристый,передний привод,Да,,,
19, Toyota,Camry ,2008.0,"    5700000
    ₸
",Алматы,седан,2.4 (газ-бензин),,автомат,слева,черный,передний привод,Да,,,
0, Toyota,Camry ,2008,"    5700000
    ₸
",Алматы,седан,2.4 (газ-бензин),,автомат,слева,черный,передний привод,Да,,,
1, ГАЗ,ГАЗель NEXT ,2014,"    6000000
    ₸
",Алматы,фургон,2.8 (дизель),,механика,слева,белый,задний привод,Да,,,
2, Renault,Logan ,2016,"    3700000
    ₸
",Уральск,седан,1.6 (бензин),120 000 км,автомат,слева,белый,передний привод,Да,X7L4SRC9*54****02,,
3, ВАЗ (Lada),2115 (седан) ,2012,"    1850000
    ₸
",Шымкент,седан,1.5 (бензин),180 000 км,механика,слева,белый,передний привод,Да,,,
4, ВАЗ (Lada),2190 (седан) ,2013,"    2270000
    ₸
",Актобе,седан,1.6 (бензин),,автомат,слева,синий,передний привод,Да,,,
5, Volkswagen,Tiguan ,2015,"    8000000
    ₸
",Нур-Султан (Астана),кроссовер,2 (бензин),147 000 км,автомат,слева,серебристый,полный привод,Да,,,
6, Volkswagen,Golf ,2002,"    2400000
    ₸
",Тараз,хэтчбек,1.6 (бензин),,механика,слева,черный,передний привод,Да,,,
7, Kia,Pregio ,1999,"    1400000
    ₸
",Алматы,микроавтобус,2.2 (дизель),,механика,слева,белый,задний привод,Да,,,
8, ВАЗ (Lada),2114 (хэтчбек) ,2013,"    1800000
    ₸
",Шымкент,хэтчбек,1.6 (бензин),,механика,слева,белый,передний привод,Да,,,
9, Toyota,Camry ,2003,"    4800000
    ₸
",Алматы,седан,2.4 (бензин),195 000 км,автомат,слева,золотистый,передний привод,Да,,,
10, BMW,730 ,1995,"    2500000
    ₸
",Алматы,седан,3 (бензин),,автомат,слева,зеленый,задний привод,Да,WBAGF210*0D****49,,
11, Lexus,RX 350 ,2007,"    8200000
    ₸
",Алматы,кроссовер,3.5 (бензин),,автомат,слева,черный,полный привод,Да,,,
12, Nissan,X-Trail ,2014,"    7000000
    ₸
",Уральск,кроссовер,2 (бензин),,вариатор,слева,белый,полный привод,Да,,,
13, Mercedes-Benz,S 320 ,1995,"    2300000
    ₸
",Алматы,седан,3.2 (бензин),,автомат,слева,черный,задний привод,Да,,,
14, Kia,Sportage ,2020,"    15000000
    ₸
",Алматы,кроссовер,2.4 (бензин),6 000 км,автомат,слева,серый,полный привод,Да,,,
15, Toyota,Land Cruiser Prado ,1994,"    4300000
    ₸
",Шымкент,внедорожник,3 (дизель),,автомат,слева,зеленый,полный привод,Да,,,
16, Hyundai,Elantra ,2011,"    3700000
    ₸
",Аягоз,седан,1.8 (бензин),176 990 км,автомат,слева,черный,передний привод,Нет,,,
17, Mazda,CX-7 ,2011,"    6500000
    ₸
",Атырау,кроссовер,2.5 (бензин),212 000 км,автомат,слева,серый,передний привод,Да,,,
18, Audi,100 ,1990,"    1800000
    ₸
",Караганда,седан,3.6 (бензин),,механика,слева,серый,полный привод,Да,,,
19, Toyota,Carina E ,1993,"    2650000
    ₸
",Алматы,универсал,2 (бензин),257 000 км,автомат,слева,бордовый металлик,передний привод,Да,,,
0, BMW,X5 ,2007.0,"    6500000
    ₸
",Алматы,кроссовер,4.8 (бензин),,типтроник,слева,коричневый,,Да,,,
1, Chevrolet,Cruze ,2012.0,"    3900000
    ₸
",Алматы,седан,1.8 (бензин),84 000 км,автомат,слева,серый металлик,передний привод,Да,,,
2, ВАЗ (Lada),2172 (хэтчбек) ,2010.0,"    2230000
    ₸
",Костанай,хэтчбек,1.6 (бензин),213 000 км,механика,слева,серый,передний привод,Да,,,
3, Volkswagen,Golf ,1994.0,"    1200000
    ₸
",Алматы,хэтчбек,1.6 (бензин),244 000 км,механика,слева,фиолетовый,передний привод,Да,WVWZZZ1H*RW****02,,
4, Toyota,Camry ,2003.0,"    4900000
    ₸
",Павлодар,седан,2.4 (бензин),290 000 км,автомат,слева,серебристый,передний привод,Да,,,
5, ВАЗ (Lada),2114 (хэтчбек) ,2012.0,"    2200000
    ₸
",Кызылорда,хэтчбек,1.6 (бензин),,механика,слева,белый,передний привод,Да,,,
6, Nissan,Cefiro ,1999.0,"    2530000
    ₸
",Нур-Султан (Астана),седан,2 (бензин),343 000 км,автомат,справа,серебристый металлик,передний привод,Да,,,
7, Volkswagen,Caravelle ,1998.0,"    4000000
    ₸
",Тараз,минивэн,2.8 (бензин),244 581 км,механика,слева,зеленый,передний привод,Да,,,
8, Mazda,Cronos ,1993.0,"    1300000
    ₸
",Алматы,седан,2 (бензин),350 км,автомат,слева,зеленый,передний привод,Да,,,
9, Mercedes-Benz,E 200 ,1993.0,"    1350000
    ₸
",Тараз,седан,2 (бензин),349 000 км,механика,слева,золотистый,задний привод,Да,,,
10, BMW,520 ,1992.0,"    1200000
    ₸
",Бесагаш,седан,2 (бензин),,механика,слева,белый,задний привод,Да,,Да,
11, Toyota,Camry ,2018.0,"    14500000
    ₸
",Алматы,седан,2.5 (бензин),93 000 км,автомат,слева,черный,передний привод,Да,,,
12, Ravon,Nexia R3 ,2020.0,"    4750000
    ₸
",Алматы,седан,1.5 (бензин),21 800 км,автомат,слева,белый,передний привод,Да,,,
13, Hyundai,ix35 ,2014.0,"    8000000
    ₸
",Актау,кроссовер,2 (бензин),130 000 км,автомат,слева,черный,полный привод,Да,,,
14,,,,,,,,,,,,,,,,
15, Toyota,Camry ,2002.0,"    3700000
    ₸
",Нур-Султан (Астана),седан,2.4 (бензин),447 396 км,автомат,слева,белый металлик,передний привод,Да,,,
16, Volkswagen,Passat ,1990.0,"    720000
    ₸
",Каратау,седан,1.8 (бензин),,механика,слева,красный,передний привод,Да,,,
17, Mitsubishi,Lancer ,2008.0,"    2800000
    ₸
",Тараз,седан,1.8 (бензин),2 200 км,автомат,слева,белый,передний привод,Да,,,
18, Audi,A4 ,1996.0,"    1350000
    ₸
",Алматы,седан,2.6 (бензин),340 000 км,автомат,слева,серый,передний привод,Да,11111111*11****11,,
19, Ford,Mustang ,2008.0,"    13000000
    ₸
",Алматы,купе,5.4 (бензин),76 814 км,механика,слева,серебристый,задний привод,Да,,,
0, Mitsubishi,Galant , 2004,"    2950000
    ₸
",Кызылорда,седан,2.4 (бензин),,автомат,слева,серебристый металлик,передний привод,Да,,,
1, ВАЗ (Lada),2114 (хэтчбек) , 2013,"    2050000
    ₸
",Алматы,хэтчбек,1.6 (бензин),,механика,слева,коричневый,передний привод,Да,,,
2, Chevrolet,Nexia , 2019,"    4690000
    ₸
",Нур-Султан (Астана),седан,1.5 (бензин),,автомат,слева,,передний привод,Да,,,
3, Skoda,Yeti , 2014,"    4500000
    ₸
",Нур-Султан (Астана),седан,1.4 (бензин),90 000 км,вариатор,слева,черный,передний привод,Да,,,
4, Toyota,Camry , 2011,"    8100000
    ₸
",Алматы,седан,3.5 (бензин),103 600 км,автомат,слева,черный,передний привод,Да,XW7BK4FK*0S****78,,
5, ВАЗ (Lada),Vesta , SW Cross ,"    7310000
    ₸
",Нур-Султан (Астана),универсал,1.6 (бензин),,вариатор,слева,,передний привод,Да,,,
6, Toyota,Land Cruiser Prado , 2016,"    17700000
    ₸
",Уральск,внедорожник,2.7 (бензин),68 000 км,автомат,слева,,полный привод,Да,,,
7, ВАЗ (Lada),2172 (хэтчбек) , 2009,"    1550000
    ₸
",Нур-Султан (Астана),хэтчбек,1.6 (бензин),150 000 км,механика,слева,черный,передний привод,Нет,,,
8, Mazda,Cronos , 1997,"    1490000
    ₸
",Алматы,хэтчбек,1.8 (бензин),,механика,слева,зеленый металлик,передний привод,Да,,,
9, Toyota,Land Cruiser , 2019,"    39000000
    ₸
",Алматы,внедорожник,4.6 (бензин),17 500 км,автомат,слева,белый,полный привод,Да,,,
10, Mitsubishi,Delica , 2004,"    4500000
    ₸
",Актобе,минивэн,3 (бензин),202 000 км,автомат,справа,синий металлик,полный привод,Да,,,
11, Audi,A6 , 2005,"    3900000
    ₸
",Караганда,универсал,2.4 (бензин),238 000 км,вариатор,слева,серебристый,передний привод,Да,,,
12, Daewoo,Nexia , 2012,"    2100000
    ₸
",Шымкент,седан,1.5 (бензин),300 000 км,механика,слева,белый,передний привод,Да,,,
13, Nissan,Patrol , 2005,"    7200000
    ₸
",Алматы,внедорожник,3 (дизель),,механика,слева,серый,полный привод,Да,,,
14, Kia,Sorento , 2015,"    10500000
    ₸
",Актобе,кроссовер,2.4 (бензин),150 000 км,автомат,слева,белый,полный привод,Да,,,
15, Mitsubishi,Xpander , 2019,"    10400000
    ₸
",Алматы,внедорожник,1.5 (бензин),3 км,автомат,слева,,передний привод,Нет,,,
16, Kia,Cee’d , 2008,"    3000000
    ₸
",Актобе,хэтчбек,1.6 (бензин),197 800 км,механика,слева,серебристый,,Да,,,
17, Audi,A4 , 1996,"    900000
    ₸
",Шубаркудук,седан,1.6 (бензин),385 645 км,механика,слева,черный,передний привод,Да,,,
18, BMW,316 , 2014,"    13800000
    ₸
",Алматы,седан,1.6 (бензин),71 950 км,автомат,слева,голубой,задний привод,Да,,,
19, Kia,K5 , 2018,"    8399000
    ₸
",Алматы,седан,2 (газ),43 000 км,автомат,слева,серый металлик,передний привод,Да,,,
0, Audi,A4 ,1996.0,"    1350000
    ₸
",Алматы,седан,2.6 (бензин),340 000 км,автомат,слева,серый,передний привод,Да,11111111*11****11,,
1, Ford,Mustang ,2008.0,"    13000000
    ₸
",Алматы,купе,5.4 (бензин),76 814 км,механика,слева,серебристый,задний привод,Да,,,
2, Audi,S5 ,2010.0,"    6500000
    ₸
",Атырау,купе,4.2 (бензин),150 000 км,автомат,слева,черный,полный привод,Нет,,,
3, Mercedes-Benz,E 55 AMG ,2001.0,"    5700000
    ₸
",Нур-Султан (Астана),седан,5.5 (бензин),,автомат,слева,белый,задний привод,Да,,,
4, Mercedes-Benz,GLE Coupe 63 AMG ,2020.0,"    82000000
    ₸
",Алматы,кроссовер,4 (бензин),,автомат,слева,белый металлик,полный привод,Да,,,
5,,,,,,,,,,,,,,,,
6, Toyota,Camry ,2019.0,"    15500000
    ₸
",Алматы,седан,2.5 (бензин),19 000 км,автомат,слева,белый,передний привод,Да,JTNB11HK*K3****02,,
7, ВАЗ (Lada),XRAY ,2016.0,"    3500000
    ₸
",Актау,хэтчбек,1.6 (бензин),61 000 км,механика,слева,серебристый,передний привод,Нет,,,
8, ВАЗ (Lada),2112 (хэтчбек) ,2005.0,"    650000
    ₸
",Нур-Султан (Астана),хэтчбек,1.6 (бензин),250 000 км,механика,слева,серебристый,передний привод,Нет,,,
9, Honda,Fit ,2009.0,"    4350000
    ₸
",Нур-Султан (Астана),микровэн,1.5 (бензин),159 000 км,типтроник,слева,черный,передний привод,Да,,,
10,,,,,,,,,,,,,,,,
11, Hyundai,Elantra ,2019.0,"    8200000
    ₸
",Актау,седан,1.6 (бензин),66 000 км,автомат,слева,серый,передний привод,Да,,,
12, Kia,Soul ,2013.0,"    5000000
    ₸
",Сарыколь,хэтчбек,1.6 (бензин),300 000 км,механика,слева,белый,передний привод,Да,,,
13, Opel,Vectra ,1992.0,"    700000
    ₸
",Шымкент,седан,1.8 (бензин),1 111 км,механика,слева,синий металлик,передний привод,Да,,,
14, BMW,X1 ,2017.0,"    11250000
    ₸
",Нур-Султан (Астана),кроссовер,2 (бензин),54 000 км,автомат,слева,белый,полный привод,Да,,,
15, Honda,Shuttle ,1996.0,"    2750000
    ₸
",Шымкент,минивэн,2.2 (бензин),,автомат,слева,зеленый металлик,передний привод,Да,,,
16, Infiniti,QX50 ,2020.0,"    18990000
    ₸
",Кызылорда,кроссовер,2 (бензин),,вариатор,слева,красный,полный привод,Да,,,
17, ВАЗ (Lada),2121 Нива ,2019.0,"    4700000
    ₸
",Нур-Султан (Астана),внедорожник,1.7 (бензин),21 000 км,механика,слева,белый,полный привод,Да,,,
18, Daewoo,Nexia ,2006.0,"    850000
    ₸
",Уральск,седан,1.5 (бензин),,механика,слева,голубой,передний привод,Нет,,,
19, Nissan,Patrol ,1993.0,"    2600000
    ₸
",Алматы,внедорожник,2.8 (дизель),,механика,слева,,полный привод,Да,,,
0, ВАЗ (Lada),2170 (седан) , 2015,"    3000000
    ₸
",Алматы,седан,1.6 (бензин),168 000 км,механика,слева,белый,передний привод,Да,,,
1, Lexus,RX 330 , 2004,"    6700000
    ₸
",Алматы,кроссовер,3.3 (бензин),241 350 км,автомат,слева,серебристый,полный привод,Да,JTJHA31U*40****37,,
2, Daewoo,Nexia , 2011,"    1300000
    ₸
",Алматы,седан,1.5 (бензин),,механика,слева,белый,передний привод,Да,,,
3, Peugeot,307 , 2003,"    1000000
    ₸
",Нур-Султан (Астана),универсал,1.6 (бензин),248 000 км,механика,слева,серебристый металлик,передний привод,Нет,,,
4, Hyundai,Solaris , 2015,"    3800000
    ₸
",Нур-Султан (Астана),седан,1.4 (бензин),,механика,слева,серебристый,передний привод,Да,,,
5, Toyota,HiAce , 2009,"    6500000
    ₸
",Атырау,микроавтобус,2.5 (дизель),,механика,слева,белый,задний привод,Да,,,
6, Mitsubishi,Pajero , 1991,"    2500000
    ₸
",Алматы,внедорожник,2.5 (дизель),,автомат,справа,серый,полный привод,Да,,,
7, Toyota,4Runner , 2019,"    25500000
    ₸
",Актау,внедорожник,4 (бензин),15 200 км,автомат,слева,черный,полный привод,Да,,,
8, Toyota,Alphard , 2004,"    3900000
    ₸
",Караганда,минивэн,3 (бензин),125 000 км,автомат,справа,белый,полный привод,Нет,,,
9, Geely,Emgrand X7 , 2014,"    4500000
    ₸
",Караганда,кроссовер,2 (газ-бензин),94 890 км,механика,слева,черный,передний привод,Да,,,
10, Audi,A6 , 1994,"    2600000
    ₸
",Нур-Султан (Астана),седан,2.6 (бензин),,автомат,слева,белый,передний привод,Да,,,
11, Mitsubishi,Pajero , 2006,"    5400000
    ₸
",Талдыкорган,внедорожник,3 (бензин),270 000 км,автомат,слева,черный,полный привод,Да,,,
12, Volkswagen,Passat , 1994,"    1750000
    ₸
",Костанай,седан,1.8 (бензин),,механика,слева,серый,передний привод,Да,,,
13, Mercedes-Benz,E 320 , 2000,"    3200000
    ₸
",Кордай,седан,3.2 (бензин),338 200 км,автомат,слева,хамелеон,задний привод,Да,,,
14, ВАЗ (Lada),Largus Cross , 2021,"    6280000
    ₸
",Нур-Султан (Астана),универсал,1.6 (бензин),,механика,слева,,передний привод,Да,,,
15, Volkswagen,Golf , 1992,"    1000000
    ₸
",Алматы,хэтчбек,1.8 (бензин),,механика,слева,красный,передний привод,Да,,,
16, ГАЗ,ГАЗель , 2000,"    1300000
    ₸
",Караганда,фургон,2.4 (бензин),250 000 км,механика,слева,белый,задний привод,Да,,,
17, Renault,Arkana , Life ,"    9210000
    ₸
",Алматы,кроссовер,1.6 (бензин),,вариатор,слева,,передний привод,Да,X7LRJC2A*66****00,,
18, Toyota,Sequoia , 2008,"    13900000
    ₸
",Нур-Султан (Астана),внедорожник,5.7 (бензин),176 600 км,автомат,слева,белый металлик,полный привод,Да,,,
19, Renault,Logan , Stepway Life ,"    5919280
    ₸
",Шымкент,седан,1.6 (бензин),,механика,слева,,передний привод,Да,X7L4SRLV*66****38,,
0, Nissan,Teana , 2014,"    7300000
    ₸
",Нур-Султан (Астана),седан,2.5 (бензин),80 000 км,вариатор,слева,серый,передний привод,Да,,,
1, Toyota,Corolla , 2011,"    5500000
    ₸
",Алматы,седан,1.6 (бензин),,автомат,слева,серебристый,передний привод,Да,,,
2, Toyota,Sequoia , 2004,"    8000000
    ₸
",Жанаозен,внедорожник,4.7 (бензин),255 000 км,автомат,слева,белый,полный привод,Да,,,
3, Toyota,Land Cruiser Prado , 2012,"    13800000
    ₸
",Актау,внедорожник,2.7 (газ-бензин),180 000 км,автомат,слева,белый,полный привод,Да,33689926*87****75,,
4, Toyota,Camry , 2019,"    17300000
    ₸
",Шымкент,седан,3.5 (бензин),31 000 км,типтроник,слева,белый металлик,передний привод,Да,,,
5, Toyota,RAV 4 , 2013,"    9500000
    ₸
",Усть-Каменогорск,кроссовер,2 (бензин),92 000 км,вариатор,слева,черный,полный привод,Да,,,
6, Toyota,Camry , 2010,"    6600000
    ₸
",Алматы,седан,2.4 (бензин),,автомат,слева,серебристый,передний привод,Да,,,
7, Volkswagen,Passat , 1994,"    1450000
    ₸
",Алматы,универсал,1.8 (бензин),,механика,слева,красный,передний привод,Да,,,
8, Mitsubishi,Outlander , 2004,"    4250000
    ₸
",Алматы,кроссовер,2.4 (бензин),166 000 км,автомат,слева,серебристый,полный привод,Да,,,
9, Jeep,Grand Cherokee , 1999,"    5300000
    ₸
",Тараз,хэтчбек,4 (газ-бензин),,автомат,слева,белый,полный привод,Да,,,
10, Volkswagen,Polo , 2015,"    4800000
    ₸
",Алматы,седан,1.6 (бензин),56 000 км,автомат,слева,,передний привод,Да,,,
11, Chevrolet,Malibu , 2020,"    12430000
    ₸
",Алматы,седан,2 (бензин),10 км,автомат,слева,черный,передний привод,Да,,,
12, BMW,320 , 2015,"    11500000
    ₸
",Алматы,седан,2 (бензин),57 000 км,автомат,слева,белый,полный привод,Да,,,
13, Nissan,X-Trail , SE ,"    11957940
    ₸
",Алматы,кроссовер,2 (бензин),,вариатор,слева,,передний привод,Да,,,
14, ВАЗ (Lada),2115 (седан) , 2003,"    750000
    ₸
",Костанай,седан,1.5 (бензин),,механика,слева,синий,передний привод,Нет,,,
15, Subaru,Legacy , 1995,"    1700000
    ₸
",Алматы,универсал,2.2 (бензин),325 000 км,автомат,справа,вишня металлик,полный привод,Да,,,
16, Nissan,X-Trail , 2014,"    8500000
    ₸
",Нур-Султан (Астана),кроссовер,2 (бензин),97 000 км,вариатор,слева,черный,полный привод,Да,,,
17, Lexus,LX 570 , 2014,"    26500000
    ₸
",Алматы,внедорожник,5.7 (бензин),95 000 км,автомат,слева,белый,полный привод,Да,,,
18, Toyota,Ipsum , 2006,"    3500000
    ₸
",Алматы,минивэн,2.4 (бензин),,автомат,справа,белый металлик,полный привод,Нет,,,
19, ВАЗ (Lada),Vesta , SW Cross ,"    6110000
    ₸
",Алматы,универсал,1.6 (бензин),,механика,слева,оранжевый,передний привод,Да,,,
0, ВАЗ (Lada),Largus Cross ,2021,"    6400000
    ₸
",Алматы,универсал,1.6 (бензин),,механика,слева,,передний привод,Да,,,
1, Infiniti,QX50 ,2020,"    18990000
    ₸
",Кызылорда,кроссовер,2 (бензин),,вариатор,слева,черный,полный привод,Да,,,
2, Nissan,X-Trail ,2014,"    8500000
    ₸
",Усть-Каменогорск,кроссовер,2 (бензин),,вариатор,слева,белый,полный привод,Да,,,
3, ГАЗ,31105 (Волга) ,2007,"    800000
    ₸
",Кульсары,седан,2.4 (бензин),,механика,слева,,задний привод,Да,,,
4, Lexus,IS 300 ,2001,"    3000000
    ₸
",Нур-Султан (Астана),седан,3 (бензин),233 302 км,автомат,слева,черный,задний привод,Да,,,
5, Kia,Rio ,2013,"    4500000
    ₸
",Актобе,седан,1.4 (бензин),110 000 км,автомат,слева,,передний привод,Да,,,
6, Lexus,LX 570 ,2012,"    22500000
    ₸
",Алматы,внедорожник,5.7 (бензин),164 000 км,автомат,слева,белый металлик,полный привод,Да,,,
7, Kia,Sportage ,2013,"    7003235
    ₸
",Нур-Султан (Астана),кроссовер,2 (бензин),110 541 км,автомат,слева,коричневый,полный привод,Да,,,
8, Toyota,Fortuner ,2021,"    27700000
    ₸
",Актау,внедорожник,4 (бензин),,автомат,слева,белый,полный привод,Да,,,
9, Nissan,Patrol ,2014,"    14500000
    ₸
",Алматы,внедорожник,5.6 (бензин),96 000 км,автомат,слева,белый,полный привод,Да,,,
10, Toyota,Camry ,2015,"    10990000
    ₸
",Нур-Султан (Астана),седан,2.5 (бензин),138 000 км,автомат,слева,белый,передний привод,Да,,,
11, Toyota,Land Cruiser Prado ,2002,"    8500000
    ₸
",Алматы,внедорожник,3.4 (бензин),150 000 км,автомат,справа,серый,полный привод,Да,,,
12, ВАЗ (Lada),2190 (седан) ,2013,"    1200000
    ₸
",Уральск,седан,1.6 (бензин),,механика,слева,бежевый,передний привод,Нет,,,
13, Mitsubishi,Galant ,1995,"    850000
    ₸
",Нур-Султан (Астана),хэтчбек,1.8 (бензин),300 000 км,механика,слева,,передний привод,Да,,,
14, Toyota,Land Cruiser ,2012,"    19000000
    ₸
",Нур-Султан (Астана),внедорожник,4 (бензин),118 748 км,автомат,слева,черный,полный привод,Да,,,
15, Volkswagen,Touareg ,2006,"    5500000
    ₸
",Алматы,кроссовер,3.2 (бензин),250 000 км,автомат,слева,черный,полный привод,Да,,,
16, Volkswagen,Passat ,1991,"    1600000
    ₸
",Алматы,универсал,1.8 (бензин),,механика,слева,бирюзовый,передний привод,Да,,,
17, Kia,Soul ,2013,"    5500000
    ₸
",Актобе,хэтчбек,2 (газ-бензин),97 800 км,автомат,слева,красный,передний привод,Да,,,
18, Mitsubishi,Space Wagon ,1991,"    700000
    ₸
",Караганда,универсал,1.8 (бензин),,механика,слева,вишня металлик,передний привод,Да,,,
19, Toyota,Land Cruiser ,2014,"    25000000
    ₸
",Алматы,внедорожник,4.5 (дизель),111 000 км,автомат,слева,черный,полный привод,Да,,,
0, Renault,Logan , Stepway Life ,"    6475154
    ₸
",Актау,седан,1.6 (бензин),,механика,слева,,передний привод,Да,X7L4SRLV*66****38,,
1, ВАЗ (Lada),2113 (хэтчбек) , 2007,"    950000
    ₸
",Костанай,хэтчбек,1.6 (бензин),,механика,слева,бежевый,передний привод,Нет,,,
2, Lexus,RX 300 , 1999,"    4500000
    ₸
",Алматы,кроссовер,3 (бензин),332 000 км,автомат,слева,черный,полный привод,Да,,,
3, Renault,Kaptur , 2020,"    9084000
    ₸
",Караганда,кроссовер,1.3 (бензин),7 км,вариатор,слева,,полный привод,Да,,,
4, Hyundai,Elantra , 2018,"    7650000
    ₸
",Костанай,седан,1.6 (бензин),20 086 км,автомат,слева,серый металлик,передний привод,Да,,,
5, Toyota,Camry , 1998,"    2800000
    ₸
",Алматы,седан,3 (бензин),327 000 км,автомат,слева,черный,передний привод,Да,,,
6, ГАЗ,ГАЗель , 1997,"    1850000
    ₸
",Алматы,лимузин,2.9 (дизель),6 528 769 км,механика,слева,серый,задний привод,Да,,,
7, Ford,Transit , 1991,"    2000000
    ₸
",Нур-Султан (Астана),фургон,2.5 (дизель),100 000 км,механика,слева,красный металлик,задний привод,Да,,,
8, Nissan,Murano , 2019,"    18476000
    ₸
",Алматы,кроссовер,3.5 (бензин),,вариатор,слева,,передний привод,Да,,,
9, Kia,Cerato , 2015,"    5800000
    ₸
",Алматы,седан,1.6 (бензин),139 400 км,автомат,слева,,передний привод,Да,,,
10, Renault,Sandero Stepway , 2014,"    4500000
    ₸
",Кызылорда,хэтчбек,1.6 (бензин),49 000 км,автомат,слева,серебристый,передний привод,Да,,,
11, Mercedes-Benz,GLC 300 , 2019,"    18700000
    ₸
",Алматы,кроссовер,2 (бензин),28 000 км,автомат,слева,черный,задний привод,Да,,,
12, Toyota,Camry , 2008,"    5100000
    ₸
",Актау,седан,2.4 (газ-бензин),,автомат,слева,,передний привод,Да,,,
13, BMW,525 , 1990,"    1350000
    ₸
",Алматы,седан,2.5 (бензин),,механика,слева,красный,задний привод,Да,,,
